Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
23,-56.19417572,-59.86251831,-47.64590073,-51.37302399,-54.65847015,-40.13284683,-48.08581543,-39.10032272
23.5,-57.61058044,-59.86390686,-50.35002518,-51.36506271,-62.27297974,-40.13061523,-53.62024307,-39.10419464
24,-61.430336,-59.86154938,-56.3221817,-51.36108398,-66.87220001,-40.12540436,-62.66204071,-39.11193085
24.5,-62.97750473,-59.85381699,-58.48760223,-51.37037277,-70.18373108,-40.11944962,-68.87689972,-39.11708832
25,-63.94470596,-59.84873199,-59.89671707,-51.36108398,-72.79187012,-40.11944962,-73.58002472,-39.11837769
25.5,-64.67362976,-59.8544693,-60.97809982,-51.35312271,-74.92884064,-40.12540436,-77.37237549,-39.12611389
26,-65.25772095,-59.85960007,-61.86709213,-51.34118271,-76.7539444,-40.13061523,-80.52642059,-39.13256073
26.5,-65.75292206,-59.85575104,-62.62339783,-51.32526016,-78.34532166,-40.13061523,-83.230896,-39.13642883
27,-66.16816711,-59.86703491,-63.29345703,-51.34118271,-79.72679901,-40.13656998,-85.57601166,-39.1415863
27.5,-66.54447937,-59.86390305,-63.8719635,-51.34250641,-80.95941162,-40.13210297,-87.6421814,-39.14889526
28,-66.87971497,-59.86080551,-64.38677979,-51.34648895,-82.0707016,-40.1477356,-89.47711182,-39.15233231
28.5,-67.18507385,-59.86632919,-64.860466,-51.35577774,-83.06587219,-40.16187668,-91.13195801,-39.15792084
29,-67.45744324,-59.86487198,-65.28373718,-51.35577774,-83.97842407,-40.15740967,-92.6040802,-39.17683411
29.5,-67.70149231,-59.86510086,-65.67648315,-51.37037277,-84.79271698,-40.16038895,-93.95375061,-39.18972778
30,-67.93602753,-59.86364746,-66.02942657,-51.34781647,-85.53407288,-40.15815735,-95.17788696,-39.18929672
30.5,-68.14178467,-59.86642075,-66.34521484,-51.34383392,-86.21960449,-40.16634369,-96.29541016,-39.20090485
31,-68.33055115,-59.86553574,-66.64375305,-51.35445023,-86.85451508,-40.17825317,-97.32309723,-39.21422958
31.5,-68.50682068,-59.87535477,-66.90912628,-51.35577774,-87.43360901,-40.18867493,-98.26057434,-39.21508789
32,-68.66911316,-59.87467194,-67.173172,-51.36904526,-87.97994232,-40.20802689,-99.14214325,-39.21938705
32.5,-68.81400299,-59.88218689,-67.39740753,-51.3743515,-88.47343445,-40.23035431,-99.94764709,-39.23184967
33,-68.95372009,-59.87906265,-67.6335907,-51.37037277,-88.94385529,-40.23184586,-100.6899643,-39.2365799
33.5,-69.08507538,-59.88288116,-67.8312912,-51.35975647,-89.37854004,-40.24747467,-101.3819885,-39.24689484
34,-69.20330811,-59.88055801,-68.0196991,-51.37567902,-89.81025696,-40.25864029,-102.0237045,-39.25162125
