Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
115,-70.76000214,-59.97368622,-69.63845825,-51.62778091,-98.50776672,-40.53329849,-115.31604,-39.51553726
115.5,-70.75639343,-59.98201752,-69.6424408,-51.62910843,-98.50850677,-40.5399971,-115.2983932,-39.5112381
116,-70.75479126,-59.97739792,-69.63580322,-51.60522461,-98.51074219,-40.53031921,-115.2777939,-39.51080704
116.5,-70.75227356,-59.9777832,-69.63182831,-51.61318588,-98.51595306,-40.52585602,-115.2717743,-39.50608063
117,-70.74697113,-59.98113251,-69.60661316,-51.60787964,-98.51595306,-40.53627396,-115.2498627,-39.50951767
117.5,-70.7405777,-59.98041153,-69.61325073,-51.59726334,-98.51818848,-40.53925323,-115.2373886,-39.50994873
118,-70.73735046,-59.98160553,-69.60794067,-51.62778091,-98.53902435,-40.54372025,-115.2107162,-39.50779724
118.5,-70.73950958,-59.98043823,-69.60661316,-51.63574219,-98.5427475,-40.5399971,-115.2008514,-39.50908661
119,-70.73453522,-59.9772644,-69.61590576,-51.64370346,-98.54795837,-40.53702164,-115.189682,-39.49533463
119.5,-70.7326355,-59.97538757,-69.59600067,-51.62380219,-98.54423523,-40.51990128,-115.1939621,-39.4906044
120,-70.73713684,-59.97507477,-69.59334564,-51.62247467,-98.54051208,-40.52213287,-115.1776428,-39.48544693
120.5,-70.73092651,-59.97935486,-69.58273315,-51.63574219,-98.54200745,-40.52064514,-115.1767578,-39.4798584
121,-70.73548889,-59.97702789,-69.57609558,-51.61716461,-98.54944611,-40.52138901,-115.174202,-39.48028946
121.5,-70.72992706,-59.97662735,-69.56415558,-51.60920334,-98.54498291,-40.52213287,-115.1617508,-39.46223831
122,-70.73321533,-59.97410202,-69.55088806,-51.60389709,-98.54944611,-40.52138901,-115.1531296,-39.41366577
122.5,-70.72369385,-59.97487259,-69.55088806,-51.60787964,-98.55986786,-40.50724792,-115.1342239,-39.37541199
123,-70.71920776,-59.97629547,-69.55221558,-51.60655212,-98.56656647,-40.51320267,-115.1251907,-39.37627411
123.5,-70.71921539,-59.98022079,-69.53231049,-51.59062958,-98.57772827,-40.50650406,-115.0981064,-39.38486862
124,-70.71199036,-59.96969604,-69.52832794,-51.59726334,-98.58071136,-40.4983139,-115.0959854,-39.39002609
124.5,-70.71110535,-59.97448349,-69.509758,-51.60124588,-98.57922363,-40.49682617,-115.0968246,-39.39862442
125,-70.70143127,-59.97603607,-69.51638794,-51.60256958,-98.58517456,-40.4893837,-115.0848007,-39.41581726
125.5,-70.70663452,-59.97164536,-69.51771545,-51.60655212,-98.58368683,-40.4707756,-115.0826492,-39.41796494
126,-70.69979858,-59.97016144,-69.50312042,-51.59593582,-98.57475281,-40.47151947,-115.0757751,-39.42054367
126.5,-70.69819641,-59.96839523,-69.48985291,-51.60920334,-98.57550049,-40.46705246,-115.0637512,-39.4252739
127,-70.69882202,-59.96789932,-69.48056793,-51.60256958,-98.56210327,-40.45886612,-115.0478363,-39.42785263
127.5,-70.69709778,-59.95874405,-69.4779129,-51.59991837,-98.54721069,-40.45439911,-115.044838,-39.43343735
128,-70.69321442,-59.96107864,-69.46729279,-51.61185837,-98.54572296,-40.44621277,-115.0443954,-39.43644714
128.5,-70.68928528,-59.96007156,-69.47393036,-51.62778091,-98.55316925,-40.44918823,-115.0465469,-39.44117737
129,-70.68595123,-59.96219254,-69.4686203,-51.62114716,-98.563591,-40.44323349,-115.0387878,-39.44676208
129.5,-70.68122864,-59.95722961,-69.45933533,-51.61053085,-98.56210327,-40.44100189,-115.0323563,-39.44504547
130,-70.67333221,-59.9653511,-69.4566803,-51.60124588,-98.55838013,-40.42909241,-115.0379639,-39.45321274
130.5,-70.66860962,-59.96376801,-69.44739532,-51.60256958,-98.57252502,-40.43951416,-115.0340958,-39.44633484
131,-70.66648102,-59.95781326,-69.44739532,-51.61584091,-98.57772827,-40.43281555,-115.039238,-39.45020294
131.5,-70.66099548,-59.95304871,-69.45005035,-51.61318588,-98.57847595,-40.43281555,-115.0297775,-39.45149231
132,-70.66345978,-59.95666122,-69.45800781,-51.61981964,-98.58963776,-40.43504715,-115.0336533,-39.44719315
132.5,-70.66382599,-59.95314026,-69.45137024,-51.61318588,-98.59783173,-40.42313766,-115.0271835,-39.44160461
133,-70.66682434,-59.961483,-69.44606781,-51.59726334,-98.59559631,-40.43579102,-115.0151825,-39.44074631
133.5,-70.65924835,-59.95477676,-69.43943024,-51.60389709,-98.6030426,-40.43727875,-115.0113373,-39.45192337
134,-70.65463257,-59.9621582,-69.43544769,-51.60256958,-98.60527039,-40.44397736,-115.0095596,-39.45492935
134.5,-70.65386963,-59.95664978,-69.42085266,-51.60787964,-98.60005951,-40.45514297,-115.0134354,-39.45492935
135,-70.65324402,-59.95742798,-69.41687775,-51.59991837,-98.58740997,-40.4477005,-115.0091476,-39.45579147
135.5,-70.64797974,-59.95905304,-69.41024017,-51.60920334,-98.60378265,-40.45737839,-115.0039902,-39.46567535
136,-70.64662933,-59.96105957,-69.40493011,-51.60124588,-98.59783173,-40.4499321,-114.9867783,-39.46782684
136.5,-70.64067078,-59.96059418,-69.38370514,-51.59062958,-98.60229492,-40.45067596,-114.9889526,-39.46266556
137,-70.6452179,-59.96174622,-69.39033508,-51.60389709,-98.60974121,-40.45291138,-114.994957,-39.46438599
137.5,-70.63710785,-59.96383667,-69.38237762,-51.60124588,-98.60974121,-40.47449493,-115.0023117,-39.47341156
138,-70.6415329,-59.96155167,-69.38105011,-51.60389709,-98.60824585,-40.47151947,-114.9911041,-39.46610641
138.5,-70.63310242,-59.96730042,-69.36380005,-51.58797455,-98.60080719,-40.4752388,-114.9915161,-39.46653366
139,-70.63562775,-59.96530914,-69.36114502,-51.58664703,-98.60601807,-40.48194122,-114.9996872,-39.46653366
139.5,-70.63374329,-59.96789551,-69.3598175,-51.58532333,-98.59708405,-40.47673035,-114.9898148,-39.45750809
140,-70.62943268,-59.97065353,-69.3598175,-51.58797455,-98.59410858,-40.47896194,-114.9855042,-39.45664978
140.5,-70.62905884,-59.97253036,-69.35186005,-51.5826683,-98.59708405,-40.48268509,-114.9854736,-39.46094894
141,-70.62898254,-59.97309875,-69.3478775,-51.58664703,-98.60229492,-40.48863983,-114.9786224,-39.45621872
141.5,-70.62553406,-59.97891617,-69.34389496,-51.58797455,-98.58963776,-40.47970581,-114.9777832,-39.45278168
142,-70.6230011,-59.96484756,-69.33992004,-51.56674576,-98.57922363,-40.48119354,-114.9713135,-39.44934082
142.5,-70.62636566,-59.97156906,-69.32929993,-51.58134079,-98.56061554,-40.47821808,-114.9837952,-39.44891357
143,-70.62478638,-59.97257233,-69.32266998,-51.58797455,-98.56507874,-40.4752388,-114.9923706,-39.44031525
143.5,-70.61683655,-59.97572327,-69.32929993,-51.59062958,-98.55763245,-40.47449493,-114.998848,-39.429142
144,-70.61179352,-59.97189331,-69.3147049,-51.57736206,-98.55540466,-40.464077,-115.0005341,-39.43558884
144.5,-70.61251831,-59.97314453,-69.32134247,-51.59726334,-98.55391693,-40.46630859,-115.0069885,-39.43000031
145,-70.61206818,-59.97257233,-69.31603241,-51.60124588,-98.55838013,-40.46556473,-114.9992752,-39.42785263
145.5,-70.60723114,-59.9747963,-69.30674744,-51.60655212,-98.55316925,-40.46035385,-114.9975739,-39.42656326
146,-70.60751343,-59.97746277,-69.30674744,-51.59328461,-98.55391693,-40.44323349,-114.9902344,-39.43085861
146.5,-70.6025238,-59.9728241,-69.30276489,-51.59062958,-98.55838013,-40.43876648,-114.9876556,-39.43515778
147,-70.60205841,-59.96746063,-69.30674744,-51.57736206,-98.53977203,-40.43876648,-114.9906616,-39.41323853
147.5,-70.59706879,-59.97187042,-69.29613495,-51.56674576,-98.54498291,-40.43355942,-114.987236,-39.42054367
148,-70.59615326,-59.97122955,-69.27888489,-51.57736206,-98.54498291,-40.43727875,-114.9678879,-39.41366577
148.5,-70.59598541,-59.97988129,-69.27755737,-51.56276703,-98.56880188,-40.44844437,-114.9622955,-39.40937042
149,-70.58986664,-59.97850418,-69.26959229,-51.56409073,-98.56656647,-40.43653488,-114.9592972,-39.40636063
149.5,-70.58889771,-59.97860718,-69.28418732,-51.55745697,-98.57772827,-40.4246254,-114.9519806,-39.39905167
150,-70.58851624,-59.98177719,-69.27490234,-51.56276703,-98.56656647,-40.41941452,-114.9408188,-39.40034103
150.5,-70.58068085,-59.97569275,-69.2828598,-51.55612946,-98.56656647,-40.41122818,-114.9348068,-39.39002609
151,-70.58065796,-59.97579956,-69.2709198,-51.54684448,-98.56284332,-40.41197205,-114.9283218,-39.38830566
151.5,-70.57344818,-59.97750854,-69.27224731,-51.5494957,-98.54647064,-40.39634323,-114.9223251,-39.39561462
152,-70.57066345,-59.97060013,-69.27490234,-51.54418945,-98.54498291,-40.40080643,-114.9158783,-39.39131546
152.5,-70.56775665,-59.97393036,-69.27622986,-51.53092194,-98.54572296,-40.39038849,-114.90728,-39.39088821
153,-70.56626129,-59.96904373,-69.26826477,-51.5176506,-98.5568924,-40.39113235,-114.8991013,-39.38787842
153.5,-70.56043243,-59.97337723,-69.26694489,-51.51367188,-98.54647064,-40.38145447,-114.8905182,-39.38272095
154,-70.55838013,-59.97262573,-69.25234222,-51.5163269,-98.54721069,-40.38219833,-114.8857803,-39.37068558
154.5,-70.56739807,-59.96798325,-69.24969482,-51.52163315,-98.53604889,-40.37401199,-114.8793488,-39.36896515
155,-70.56020355,-59.97590256,-69.25102234,-51.52826691,-98.54051208,-40.36954498,-114.8681717,-39.37111282
155.5,-70.55684662,-59.97106552,-69.24969482,-51.52561188,-98.55093384,-40.37326813,-114.8540115,-39.36466599
156,-70.55492401,-59.96641541,-69.23111725,-51.51367188,-98.5427475,-40.37252426,-114.834198,-39.36724472
156.5,-70.55245972,-59.97589874,-69.22978973,-51.5057106,-98.54051208,-40.37326813,-114.8384933,-39.36552811
157,-70.55430603,-59.97183228,-69.20988464,-51.50438309,-98.54423523,-40.37549973,-114.8324966,-39.36681747
157.5,-70.55045319,-59.9729538,-69.20988464,-51.51367188,-98.53604889,-40.38964081,-114.8372269,-39.36423874
158,-70.55070496,-59.96979523,-69.2151947,-51.50836563,-98.54423523,-40.38219833,-114.8294449,-39.35736084
158.5,-70.55021667,-59.97050858,-69.19263458,-51.50040436,-98.54572296,-40.3829422,-114.8260574,-39.35607147
159,-70.5467453,-59.96734238,-69.18733215,-51.53224945,-98.54349518,-40.3717804,-114.8187332,-39.34833527
159.5,-70.54881287,-59.97682953,-69.18334961,-51.53224945,-98.55614471,-40.37996674,-114.8071365,-39.35005188
160,-70.5404129,-59.97301865,-69.18334961,-51.52428818,-98.55093384,-40.378479,-114.8002701,-39.34618378
160.5,-70.539711,-59.96892166,-69.17671204,-51.52561188,-98.5568924,-40.37326813,-114.7847595,-39.34446335
161,-70.54468536,-59.97885895,-69.17671204,-51.5163269,-98.55391693,-40.37549973,-114.7809219,-39.34962463
161.5,-70.5383606,-59.9719429,-69.16477203,-51.52030563,-98.56061554,-40.36880112,-114.7766113,-39.340168
162,-70.5458374,-59.98071289,-69.17273712,-51.5176506,-98.5680542,-40.36582565,-114.7680664,-39.34790421
162.5,-70.53829193,-59.9762001,-69.1594696,-51.51499939,-98.57847595,-40.36507797,-114.7624664,-39.340168
163,-70.53848267,-59.97483826,-69.16344452,-51.53622818,-98.59931946,-40.36359024,-114.7572632,-39.33887863
163.5,-70.53132629,-59.98115158,-69.15681458,-51.51897812,-98.60974121,-40.36135864,-114.7516479,-39.33414841
164,-70.52674103,-59.97696304,-69.16609955,-51.52163315,-98.6075058,-40.36433411,-114.7357635,-39.32855988
164.5,-70.52206421,-59.9789505,-69.15814209,-51.51234436,-98.60899353,-40.36284637,-114.7258606,-39.3234024
165,-70.52375793,-59.98036957,-69.1594696,-51.51234436,-98.61048126,-40.36507797,-114.7104034,-39.31480789
165.5,-70.51914215,-59.97607803,-69.14487457,-51.48978806,-98.59857178,-40.36284637,-114.703537,-39.30578232
166,-70.52285767,-59.97924805,-69.150177,-51.48182678,-98.60824585,-40.35316849,-114.6923447,-39.30921936
166.5,-70.51615143,-59.97425461,-69.14487457,-51.4937706,-98.57772827,-40.34423828,-114.6682968,-39.3049202
167,-70.51924896,-59.96962357,-69.14619446,-51.48978806,-98.57028961,-40.33381653,-114.6631546,-39.3117981
167.5,-70.5120697,-59.97533035,-69.14752197,-51.49642181,-98.58145142,-40.3390274,-114.6382217,-39.3049202
168,-70.51857758,-59.97384644,-69.14752197,-51.49642181,-98.58071136,-40.33605194,-114.6107101,-39.30277252
168.5,-70.51287842,-59.96715927,-69.13292694,-51.49907684,-98.58666229,-40.33530807,-114.59095,-39.30664063
169,-70.5072937,-59.96374512,-69.13425446,-51.51234436,-98.58889771,-40.33456039,-114.5711823,-39.31781769
169.5,-70.50450134,-59.97457504,-69.14221954,-51.51101685,-98.58963776,-40.3323288,-114.5668488,-39.31996536
170,-70.49884796,-59.96717453,-69.12895203,-51.50703812,-98.58889771,-40.33084106,-114.5522385,-39.31824493
170.5,-70.49626923,-59.97327042,-69.14752197,-51.50438309,-98.57326508,-40.3323288,-114.5427933,-39.3117981
171,-70.49168396,-59.97023392,-69.14752197,-51.52561188,-98.56061554,-40.32935333,-114.545372,-39.30578232
171.5,-70.49036407,-59.97603989,-69.150177,-51.53490067,-98.54870605,-40.34200668,-114.5393372,-39.30921936
172,-70.48504639,-59.97171021,-69.150177,-51.52693939,-98.53679657,-40.34126282,-114.5212631,-39.31351852
172.5,-70.47906494,-59.96861267,-69.13425446,-51.51234436,-98.52786255,-40.34572601,-114.5075531,-39.30836105
173,-70.47743225,-59.96738815,-69.13425446,-51.5163269,-98.50925446,-40.3323288,-114.4950562,-39.31050873
173.5,-70.47241974,-59.9660759,-69.12762451,-51.50040436,-98.5174408,-40.33679581,-114.4933624,-39.30921936
174,-70.46458435,-59.96815109,-69.12098694,-51.5057106,-98.50776672,-40.34051514,-114.4839096,-39.30449295
174.5,-70.46354675,-59.95890808,-69.12895203,-51.50438309,-98.49288177,-40.34498215,-114.4705811,-39.30363083
175,-70.45943451,-59.9596405,-69.12496948,-51.5057106,-98.50180817,-40.35019302,-114.4598083,-39.30234146
175.5,-70.4568634,-59.95319748,-69.13027191,-51.49111557,-98.50180817,-40.34126282,-114.4563675,-39.30062485
176,-70.4559021,-59.95159149,-69.11965942,-51.48978806,-98.50776672,-40.25491714,-114.4443512,-39.29546356
176.5,-70.45409393,-59.95012665,-69.11700439,-51.4950943,-98.50999451,-40.19760513,-114.4486542,-39.29288483
177,-70.45519257,-59.95350647,-69.11965942,-51.4937706,-98.51669312,-40.20877075,-114.4331818,-39.29202652
177.5,-70.44956207,-59.95293045,-69.11435699,-51.4937706,-98.51892853,-40.21993637,-114.4370575,-39.28944778
178,-70.45697784,-59.94858551,-69.11037445,-51.50305557,-98.52637482,-40.23928833,-114.4413223,-39.29288483
178.5,-70.4438858,-59.94322586,-69.12762451,-51.52030563,-98.52637482,-40.2653389,-114.4378967,-39.2980423
179,-70.4535141,-59.9474411,-69.12364197,-51.49244308,-98.53307343,-40.28022766,-114.431488,-39.30578232
179.5,-70.45439148,-59.94272995,-69.12762451,-51.50040436,-98.54572296,-40.29288101,-114.4198685,-39.30792999
180,-70.45877838,-59.94890976,-69.11567688,-51.4937706,-98.55093384,-40.30999756,-114.4203033,-39.30234146
180.5,-70.45562744,-59.94952011,-69.126297,-51.51367188,-98.55912018,-40.32786179,-114.4177246,-39.29890442
181,-70.45862579,-59.94396973,-69.11567688,-51.50040436,-98.54647064,-40.33828354,-114.4103851,-39.30320358
181.5,-70.4539032,-59.94768524,-69.10771942,-51.4950943,-98.55986786,-40.33084106,-114.4104004,-39.29159546
182,-70.44890594,-59.95052719,-69.12098694,-51.4950943,-98.56210327,-40.35093689,-114.400528,-39.28944778
182.5,-70.45654297,-59.95238113,-69.11302948,-51.48182678,-98.57028961,-40.35242462,-114.3992538,-39.29116821
183,-70.44749451,-59.94866562,-69.10639191,-51.46590424,-98.57102966,-40.36582565,-114.3910446,-39.29245758
183.5,-70.45265198,-59.94137192,-69.11037445,-51.47253799,-98.56210327,-40.36954498,-114.3889084,-39.29417419
184,-70.44654083,-59.94412613,-69.11700439,-51.47121429,-98.56210327,-40.38145447,-114.3850327,-39.29030609
184.5,-70.44703674,-59.9433403,-69.126297,-51.46059799,-98.57401276,-40.38740921,-114.3884659,-39.29245758
185,-70.44861603,-59.94672012,-69.11037445,-51.45263672,-98.56954193,-40.38740921,-114.4000473,-39.29976273
185.5,-70.45104218,-59.94772339,-69.10771942,-51.45927048,-98.57698822,-40.40006256,-114.4099808,-39.29159546
186,-70.44596863,-59.94377518,-69.10240936,-51.44069672,-98.57028961,-40.40378571,-114.4207306,-39.29675293
186.5,-70.44793701,-59.9520607,-69.10108185,-51.44069672,-98.57772827,-40.41122818,-114.4314651,-39.28987885
187,-70.44629669,-59.94350433,-69.11700439,-51.44600296,-98.57550049,-40.40452957,-114.4491043,-39.29030609
187.5,-70.44561768,-59.94816589,-69.12098694,-51.45529175,-98.5680542,-40.41941452,-114.4499359,-39.28514862
188,-70.44364929,-59.95150757,-69.12231445,-51.44733047,-98.57624054,-40.41792679,-114.451683,-39.28128052
188.5,-70.44114685,-59.94770432,-69.10771942,-51.44733047,-98.57102966,-40.42164993,-114.4529343,-39.28084946
189,-70.44522095,-59.9478035,-69.10639191,-51.45794296,-98.56507874,-40.41718292,-114.4585342,-39.28042221
189.5,-70.44237518,-59.946064,-69.11170197,-51.46192551,-98.55093384,-40.41941452,-114.4731522,-39.27741241
190,-70.44306946,-59.94305038,-69.11567688,-51.47917557,-98.54125977,-40.4082489,-114.4800186,-39.28256989
190.5,-70.44057465,-59.94709015,-69.10240936,-51.47386551,-98.53232574,-40.41569519,-114.5096817,-39.28772736
191,-70.44448853,-59.94163132,-69.10373688,-51.47386551,-98.52488708,-40.4082489,-114.5200119,-39.29374695
191.5,-70.44270325,-59.93868256,-69.11037445,-51.47652054,-98.52041626,-40.41495132,-114.5397797,-39.28643799
192,-70.44268036,-59.93944168,-69.11170197,-51.45927048,-98.51148987,-40.4060173,-114.5488129,-39.28944778
192.5,-70.43965912,-59.94225693,-69.10108185,-51.48049927,-98.51595306,-40.40676117,-114.5642853,-39.27053452
193,-70.43591309,-59.94480515,-69.09577942,-51.48846054,-98.52488708,-40.41495132,-114.5741577,-39.20047379
193.5,-70.42749786,-59.94603348,-69.10240936,-51.48580933,-98.5174408,-40.40155029,-114.5772018,-39.17210388
194,-70.42436218,-59.94379044,-69.0944519,-51.46723175,-98.52265167,-40.40452957,-114.5745926,-39.16952515
194.5,-70.42165375,-59.93727493,-69.10506439,-51.46457672,-98.52935028,-40.41420364,-114.5707397,-39.16780853
195,-70.42037201,-59.93671799,-69.10639191,-51.47121429,-98.5286026,-40.40155029,-114.5797424,-39.17339325
195.5,-70.42017365,-59.93481827,-69.09179688,-51.47121429,-98.51520538,-40.38666534,-114.5780563,-39.18671799
196,-70.42350769,-59.93736267,-69.08914185,-51.45396423,-98.52711487,-40.3717804,-114.5750198,-39.18671799
196.5,-70.42150879,-59.93426895,-69.07985687,-51.46059799,-98.53083801,-40.36507797,-114.5806274,-39.18929672
197,-70.41381073,-59.93821335,-69.0851593,-51.45927048,-98.53232574,-40.35689163,-114.5895996,-39.18886948
197.5,-70.40747833,-59.93441772,-69.08781433,-51.4513092,-98.53977203,-40.35391617,-114.5960846,-39.18886948
198,-70.40610504,-59.93919373,-69.09312439,-51.44733047,-98.54721069,-40.35168076,-114.5900574,-39.18972778
198.5,-70.40693665,-59.93244934,-69.10639191,-51.45263672,-98.55316925,-40.35242462,-114.598671,-39.18585968
199,-70.40346527,-59.92542648,-69.09312439,-51.44334793,-98.55242157,-40.3554039,-114.5952301,-39.18328094
199.5,-70.40057373,-59.92417908,-69.0944519,-51.44733047,-98.54795837,-40.35614777,-114.6025238,-39.18284988
200,-70.40023041,-59.92277908,-69.11037445,-51.46059799,-98.55838013,-40.3390274,-114.6025162,-39.18500137
200.5,-70.39614868,-59.92450333,-69.11302948,-51.45263672,-98.55763245,-40.33381653,-114.6102676,-39.18886948
201,-70.3962326,-59.92672348,-69.09975433,-51.44069672,-98.56433105,-40.33605194,-114.6197357,-39.19445801
201.5,-70.39150238,-59.9348259,-69.10108185,-51.44865799,-98.57550049,-40.34051514,-114.6175995,-39.18199158
202,-70.39358521,-59.92752457,-69.09312439,-51.45396423,-98.56284332,-40.34126282,-114.6115494,-39.18284988
202.5,-70.39124298,-59.9276886,-69.09975433,-51.4393692,-98.56954193,-40.33679581,-114.6210251,-39.1798439
203,-70.38677979,-59.92544556,-69.11170197,-51.44467545,-98.56880188,-40.33381653,-114.6162796,-39.172966
203.5,-70.3914032,-59.92939758,-69.11567688,-51.46457672,-98.56507874,-40.32711792,-114.6179962,-39.17554474
204,-70.39141846,-59.93005753,-69.11302948,-51.44467545,-98.56507874,-40.33158493,-114.6175842,-39.17124557
204.5,-70.39096832,-59.93205261,-69.10904694,-51.47386551,-98.56507874,-40.33307266,-114.6218491,-39.16866684
205,-70.39432526,-59.93407822,-69.12098694,-51.46988678,-98.56284332,-40.31669617,-114.6240387,-39.17081451
205.5,-70.39118195,-59.92696762,-69.11302948,-51.47917557,-98.5568924,-40.31967545,-114.6137161,-39.17124557
206,-70.39112091,-59.92336273,-69.11037445,-51.46059799,-98.55912018,-40.3159523,-114.6107025,-39.17726517
206.5,-70.39147949,-59.93149948,-69.10639191,-51.47917557,-98.55614471,-40.32041931,-114.5909119,-39.18113327
207,-70.3925705,-59.93268585,-69.09179688,-51.48713303,-98.56284332,-40.31148911,-114.5952377,-39.18500137
207.5,-70.39691162,-59.92948151,-69.09975433,-51.47917557,-98.55912018,-40.30850983,-114.5935059,-39.17898178
208,-70.39318085,-59.92152405,-69.0944519,-51.46590424,-98.56582642,-40.30032349,-114.591774,-39.17683411
208.5,-70.39569092,-59.91833878,-69.09710693,-51.46723175,-98.56061554,-40.29436874,-114.5845032,-39.16178894
209,-70.39655304,-59.92079544,-69.07720184,-51.46192551,-98.57028961,-40.29362488,-114.5853424,-39.15362167
209.5,-70.39628601,-59.9177742,-69.0944519,-51.44865799,-98.58443451,-40.29808807,-114.5866241,-39.1544838
210,-70.39621735,-59.91498184,-69.08914185,-51.43140793,-98.59187317,-40.29808807,-114.593544,-39.14803696
210.5,-70.39396667,-59.92429733,-69.08648682,-51.44733047,-98.60005951,-40.30329895,-114.5947876,-39.1476059
211,-70.38644409,-59.92250443,-69.07985687,-51.45396423,-98.59484863,-40.29808807,-114.6012497,-39.14975357
211.5,-70.39244843,-59.91872025,-69.07189178,-51.45396423,-98.59113312,-40.29288101,-114.5973969,-39.15748978
212,-70.39589691,-59.91441345,-69.06658936,-51.46855927,-98.59113312,-40.29511261,-114.5904922,-39.15620041
212.5,-70.39176178,-59.91694641,-69.07587433,-51.46325302,-98.59484863,-40.29957962,-114.5977936,-39.16093063
213,-70.39374542,-59.92037201,-69.08781433,-51.45927048,-98.59634399,-40.29138947,-114.5973511,-39.16222
213.5,-70.38983154,-59.91901398,-69.08648682,-51.44998169,-98.61048126,-40.29436874,-114.5995026,-39.1583519
214,-70.39295197,-59.9254303,-69.08914185,-51.45794296,-98.61048126,-40.29883575,-114.6046829,-39.15577316
214.5,-70.39264679,-59.92145538,-69.10373688,-51.46059799,-98.59262085,-40.29436874,-114.5978012,-39.15362167
215,-70.38578796,-59.92098618,-69.10639191,-51.45529175,-98.60601807,-40.30181122,-114.6124115,-39.14803696
215.5,-70.38538361,-59.91979599,-69.11302948,-51.45263672,-98.61345673,-40.30181122,-114.6025009,-39.14975357
216,-70.383461,-59.920578,-69.10506439,-51.46192551,-98.62015533,-40.30181122,-114.5956497,-39.14330673
216.5,-70.39345551,-59.92032623,-69.10771942,-51.47253799,-98.60527039,-40.30181122,-114.5900879,-39.1553421
217,-70.39309692,-59.92041397,-69.12762451,-51.46590424,-98.60824585,-40.28469086,-114.5857773,-39.15104294
217.5,-70.39237976,-59.92020035,-69.12496948,-51.47784805,-98.59931946,-40.28915787,-114.57547,-39.15104294
218,-70.38931274,-59.92124939,-69.11037445,-51.48049927,-98.60154724,-40.28097153,-114.5668488,-39.15748978
218.5,-70.38580322,-59.92344284,-69.10506439,-51.45927048,-98.60675812,-40.28097153,-114.5574112,-39.15491104
219,-70.38716125,-59.9186554,-69.10904694,-51.46723175,-98.61420441,-40.27203751,-114.5449524,-39.16135788
219.5,-70.38755035,-59.92696762,-69.10639191,-51.48049927,-98.62387848,-40.2631073,-114.5466385,-39.15190506
220,-70.3841095,-59.92600632,-69.10771942,-51.47917557,-98.62015533,-40.2653389,-114.5363464,-39.15233231
220.5,-70.37876129,-59.92760086,-69.10904694,-51.46988678,-98.62983704,-40.26161575,-114.5264511,-39.1338501
221,-70.38137817,-59.93346786,-69.11567688,-51.47784805,-98.64323425,-40.26682663,-114.5208817,-39.13127136
221.5,-70.37451935,-59.93272781,-69.10506439,-51.4831543,-98.63504791,-40.25342941,-114.5144119,-39.12482452
222,-70.36843109,-59.93218231,-69.09843445,-51.49244308,-98.6186676,-40.2631073,-114.4985123,-39.12181473
222.5,-70.36965179,-59.92282867,-69.10771942,-51.49244308,-98.62611389,-40.25789642,-114.4851761,-39.11579895
223,-70.36606598,-59.92469406,-69.09843445,-51.49774933,-92.95059204,-40.25864029,-114.4739914,-39.11708832
223.5,-68.95072937,-59.91950989,-66.37838745,-51.51101685,-85.29290771,-40.26459503,-108.9382858,-39.11794662
224,-65.09944153,-59.9267807,-60.34784698,-51.53755569,-80.65274811,-40.26608276,-99.86638641,-39.11536789
224.5,-63.51924133,-59.92030716,-58.17844391,-51.52693939,-77.28762817,-40.2675705,-93.61374664,-39.12353516
225,-62.52655792,-59.92303848,-56.79984665,-51.52428818,-74.60877991,-40.27129364,-88.8633194,-39.12224579
225.5,-61.79825592,-59.91094589,-55.74499893,-51.52428818,-72.38174438,-40.27947998,-85.02456665,-39.12095642
226,-61.21978378,-59.91561127,-54.88918304,-51.52030563,-70.47550964,-40.27352524,-81.80602264,-39.12052536
226.5,-60.727211,-59.90906906,-54.14481735,-51.50969315,-68.80597687,-40.26980591,-79.03837585,-39.11364746
227,-60.30976868,-59.91098785,-53.48669815,-51.5176506,-67.32698822,-40.2653389,-76.62664032,-39.11751938
227.5,-59.94192886,-59.90919113,-52.86175156,-51.50173187,-65.9864502,-40.26236343,-74.48007202,-39.11021042
228,-59.6187973,-59.91083908,-52.31641769,-51.50173187,-64.76276398,-40.24300766,-72.55360413,-39.10848999
228.5,-59.31757736,-59.90852356,-51.78833008,-51.5057106,-63.63436127,-40.2400322,-70.80680847,-39.10677338
229,-59.05739212,-59.90279388,-51.29872131,-51.50836563,-62.5759201,-40.23854446,-69.19968414,-39.11278915
229.5,-58.81770325,-59.90966797,-50.83166885,-51.50438309,-61.58521652,-40.23109818,-67.72624969,-39.11364746
230,-58.59666824,-59.90357971,-50.38319397,-51.5163269,-60.61907578,-40.21993637,-66.35941315,-39.11278915
230.5,-58.39146805,-59.89782333,-49.94002533,-51.51234436,-59.44824219,-40.21695709,-65.07937622,-39.09903336
231,-58.1935463,-59.89691544,-49.51277924,-51.50040436,-57.71841812,-40.21249008,-63.86984253,-39.10161591
231.5,-58.02875519,-59.90075302,-49.0802269,-51.50305557,-56.76418304,-40.2005806,-62.70329666,-39.10977936
232,-57.86309052,-59.8952446,-48.66624832,-51.50438309,-55.98189163,-40.18941879,-61.5535202,-39.09430695
232.5,-57.7156601,-59.88868713,-48.25226974,-51.52693939,-55.15121841,-40.16931915,-60.42996216,-39.09774399
