Time,KO + Cre,KO + Cre NMDA,KO,KO NMDA
44.5,-54.59594727,-53.46679688,-50.20141602,-48.09570313
45,-54.47387695,-53.46679688,-50.20141602,-48.1262207
45.5,-54.44335938,-53.40576172,-50.23193359,-48.09570313
46,-54.4128418,-53.34472656,-50.20141602,-48.09570313
46.5,-54.32128906,-53.28369141,-50.17089844,-48.06518555
47,-54.26025391,-53.28369141,-50.17089844,-48.18725586
47.5,-54.22973633,-53.25317383,-50.20141602,-48.09570313
48,-54.19921875,-53.22265625,-50.17089844,-48.18725586
48.5,-54.13818359,-53.13110352,-50.20141602,-48.15673828
49,-54.04663086,-53.10058594,-50.20141602,-48.15673828
49.5,-54.04663086,-53.07006836,-50.20141602,-48.18725586
50,-54.01611328,-53.03955078,-50.29296875,-48.18725586
50.5,-53.9855957,-52.94799805,-50.26245117,-48.21777344
51,-53.95507813,-52.85644531,-50.35400391,-48.24829102
51.5,-53.83300781,-52.734375,-50.32348633,-48.18725586
52,-53.80249023,-52.734375,-50.32348633,-48.30932617
52.5,-53.77197266,-52.67333984,-50.32348633,-48.30932617
53,-53.7109375,-52.61230469,-50.29296875,-48.27880859
53.5,-53.64990234,-52.58178711,-50.35400391,-48.27880859
54,-53.61938477,-52.49023438,-50.32348633,-48.37036133
54.5,-53.55834961,-52.39868164,-50.32348633,-48.37036133
55,-53.55834961,-52.30712891,-50.29296875,-48.43139648
55.5,-53.46679688,-52.21557617,-50.26245117,-48.43139648
56,-53.46679688,-52.21557617,-50.23193359,-48.43139648
56.5,-53.37524414,-52.06298828,-50.29296875,-48.46191406
57,-53.31420898,-52.00195313,-50.29296875,-48.37036133
57.5,-53.31420898,-51.97143555,-50.38452148,-48.40087891
58,-53.19213867,-51.84936523,-50.35400391,-48.43139648
58.5,-53.19213867,-51.81884766,-50.29296875,-48.30932617
59,-53.10058594,-51.7578125,-50.38452148,-48.37036133
59.5,-53.03955078,-51.69677734,-50.35400391,-48.30932617
60,-53.03955078,-51.63574219,-50.38452148,-48.37036133
60.5,-52.97851563,-51.51367188,-50.47607422,-48.30932617
61,-53.0090332,-51.36108398,-50.47607422,-48.30932617
61.5,-53.0090332,-51.23901367,-50.5065918,-48.40087891
62,-52.85644531,-51.23901367,-50.44555664,-48.40087891
62.5,-52.88696289,-51.14746094,-50.47607422,-48.43139648
63,-52.79541016,-51.0559082,-50.44555664,-48.37036133
63.5,-52.76489258,-50.90332031,-50.47607422,-48.40087891
